timestamp,heart rate zone,total minutes
2024-10-30T14:52:00Z,fat burn,1
2024-10-30T14:57:00Z,fat burn,1
2024-10-30T14:58:00Z,fat burn,1
2024-10-30T14:59:00Z,fat burn,1
2024-10-30T15:00:00Z,fat burn,1
2024-10-30T15:01:00Z,fat burn,1
2024-10-30T15:02:00Z,fat burn,1
2024-10-30T15:03:00Z,fat burn,1
2024-10-30T15:04:00Z,fat burn,1
2024-10-30T15:05:00Z,cardio,2
2024-10-30T15:06:00Z,fat burn,1
2024-10-30T15:07:00Z,fat burn,1
2024-10-30T16:08:00Z,fat burn,1
2024-10-30T16:09:00Z,fat burn,1
2024-10-30T16:12:00Z,fat burn,1
2024-10-30T16:13:00Z,fat burn,1
2024-10-30T16:14:00Z,fat burn,1
2024-10-30T16:15:00Z,fat burn,1
2024-10-30T16:16:00Z,fat burn,1
2024-10-30T16:17:00Z,fat burn,1
2024-10-30T16:18:00Z,fat burn,1
2024-10-30T16:19:00Z,fat burn,1
2024-10-30T16:20:00Z,fat burn,1
2024-10-30T16:21:00Z,fat burn,1
2024-10-30T16:22:00Z,fat burn,1
2024-10-30T16:34:00Z,cardio,2
2024-10-30T16:35:00Z,cardio,2
2024-10-30T16:36:00Z,cardio,2
2024-10-30T16:37:00Z,fat burn,1
2024-10-30T16:38:00Z,fat burn,1
2024-10-30T16:39:00Z,fat burn,1
2024-10-30T16:40:00Z,fat burn,1
2024-10-30T16:41:00Z,fat burn,1
2024-10-30T16:42:00Z,fat burn,1
2024-10-30T16:43:00Z,fat burn,1
2024-10-30T16:44:00Z,fat burn,1
2024-10-30T16:45:00Z,fat burn,1
2024-10-30T16:46:00Z,fat burn,1
2024-10-30T16:47:00Z,fat burn,1
2024-10-30T16:48:00Z,fat burn,1
2024-10-30T16:49:00Z,fat burn,1
2024-10-30T16:51:00Z,fat burn,1
2024-10-30T16:54:00Z,fat burn,1
2024-10-30T16:55:00Z,fat burn,1
2024-10-30T16:56:00Z,fat burn,1
2024-10-30T16:57:00Z,cardio,2
2024-10-30T16:58:00Z,cardio,2
2024-10-30T16:59:00Z,peak,2
2024-10-30T17:00:00Z,cardio,2
2024-10-30T17:01:00Z,cardio,2
2024-10-30T17:02:00Z,cardio,2
2024-10-30T17:03:00Z,cardio,2
2024-10-30T17:04:00Z,peak,2
2024-10-30T17:05:00Z,cardio,2
2024-10-30T17:06:00Z,cardio,2
2024-10-30T17:07:00Z,fat burn,1
2024-10-30T17:08:00Z,cardio,2
2024-10-30T17:09:00Z,peak,2
2024-10-30T17:10:00Z,peak,2
2024-10-30T17:11:00Z,peak,2
2024-10-30T17:12:00Z,peak,2
2024-10-30T17:13:00Z,peak,2
2024-10-30T17:14:00Z,peak,2
2024-10-30T17:15:00Z,peak,2
2024-10-30T17:16:00Z,peak,2
2024-10-30T17:17:00Z,peak,2
2024-10-30T17:18:00Z,peak,2
2024-10-30T17:19:00Z,cardio,2
2024-10-30T17:20:00Z,cardio,2
2024-10-30T17:21:00Z,cardio,2
2024-10-30T17:22:00Z,peak,2
2024-10-30T17:23:00Z,peak,2
2024-10-30T17:24:00Z,peak,2
2024-10-30T17:25:00Z,peak,2
2024-10-30T17:26:00Z,peak,2
2024-10-30T17:27:00Z,peak,2
2024-10-30T17:28:00Z,peak,2
2024-10-30T17:29:00Z,cardio,2
2024-10-30T17:30:00Z,cardio,2
2024-10-30T17:31:00Z,peak,2
2024-10-30T17:32:00Z,peak,2
2024-10-30T17:33:00Z,peak,2
2024-10-30T17:34:00Z,cardio,2
2024-10-30T17:35:00Z,peak,2
2024-10-30T17:36:00Z,peak,2
2024-10-30T17:37:00Z,peak,2
2024-10-30T17:38:00Z,peak,2
2024-10-30T17:39:00Z,cardio,2
2024-10-30T17:40:00Z,cardio,2
2024-10-30T17:41:00Z,cardio,2
2024-10-30T17:42:00Z,peak,2
2024-10-30T17:43:00Z,peak,2
2024-10-30T17:44:00Z,peak,2
2024-10-30T17:45:00Z,peak,2
2024-10-30T17:46:00Z,cardio,2
2024-10-30T17:47:00Z,fat burn,1
2024-10-30T17:48:00Z,fat burn,1
2024-10-30T17:49:00Z,fat burn,1
2024-10-30T17:50:00Z,fat burn,1
2024-10-30T17:51:00Z,fat burn,1
2024-10-30T17:52:00Z,fat burn,1
2024-10-30T17:53:00Z,cardio,2
2024-10-30T17:54:00Z,cardio,2
2024-10-30T17:55:00Z,peak,2
2024-10-30T17:56:00Z,peak,2
2024-10-30T17:57:00Z,peak,2
2024-10-30T17:58:00Z,peak,2
2024-10-30T17:59:00Z,peak,2
2024-10-30T18:00:00Z,peak,2
2024-10-30T18:01:00Z,peak,2
2024-10-30T18:02:00Z,peak,2
2024-10-30T18:03:00Z,peak,2
2024-10-30T18:04:00Z,peak,2
2024-10-30T18:05:00Z,peak,2
2024-10-30T18:06:00Z,cardio,2
2024-10-30T18:07:00Z,cardio,2
2024-10-30T18:08:00Z,cardio,2
2024-10-30T18:09:00Z,cardio,2
2024-10-30T18:10:00Z,cardio,2
2024-10-30T18:11:00Z,peak,2
2024-10-30T18:12:00Z,peak,2
2024-10-30T18:13:00Z,cardio,2
2024-10-30T18:14:00Z,cardio,2
2024-10-30T18:15:00Z,peak,2
2024-10-30T18:16:00Z,peak,2
2024-10-30T18:17:00Z,cardio,2
2024-10-30T18:18:00Z,cardio,2
2024-10-30T18:19:00Z,cardio,2
2024-10-30T18:20:00Z,peak,2
2024-10-30T18:21:00Z,cardio,2
2024-10-30T18:22:00Z,peak,2
2024-10-30T18:23:00Z,peak,2
2024-10-30T18:24:00Z,cardio,2
2024-10-30T18:25:00Z,peak,2
2024-10-30T18:26:00Z,cardio,2
2024-10-30T18:27:00Z,cardio,2
2024-10-30T18:28:00Z,fat burn,1
2024-10-30T18:29:00Z,cardio,2
2024-10-30T18:30:00Z,peak,2
2024-10-30T18:31:00Z,peak,2
2024-10-30T18:32:00Z,cardio,2
2024-10-30T18:33:00Z,fat burn,1
2024-10-30T18:34:00Z,fat burn,1
2024-10-30T18:35:00Z,fat burn,1
2024-10-30T18:36:00Z,fat burn,1
2024-10-30T18:37:00Z,fat burn,1
2024-10-30T18:38:00Z,fat burn,1
2024-10-30T18:39:00Z,fat burn,1
2024-10-30T18:40:00Z,fat burn,1
2024-10-30T18:41:00Z,fat burn,1
2024-10-30T18:42:00Z,fat burn,1
2024-10-30T18:43:00Z,fat burn,1
2024-10-30T18:44:00Z,fat burn,1
2024-10-30T18:45:00Z,fat burn,1
2024-10-30T18:46:00Z,fat burn,1
2024-10-30T18:47:00Z,fat burn,1
2024-10-30T18:48:00Z,fat burn,1
2024-10-30T18:49:00Z,fat burn,1
2024-10-30T18:50:00Z,fat burn,1
2024-10-30T18:51:00Z,fat burn,1
2024-10-30T18:52:00Z,fat burn,1
2024-10-30T18:53:00Z,fat burn,1
2024-10-30T18:54:00Z,fat burn,1
2024-10-30T18:55:00Z,fat burn,1
2024-10-30T18:56:00Z,fat burn,1
2024-10-30T18:57:00Z,fat burn,1
2024-10-30T18:58:00Z,fat burn,1
2024-10-30T18:59:00Z,fat burn,1
2024-10-30T19:00:00Z,fat burn,1
2024-10-30T19:01:00Z,fat burn,1
2024-10-30T19:02:00Z,fat burn,1
2024-10-30T19:03:00Z,fat burn,1
2024-10-30T19:05:00Z,fat burn,1
2024-10-30T19:06:00Z,fat burn,1
2024-10-30T19:07:00Z,fat burn,1
2024-10-30T19:09:00Z,fat burn,1
2024-10-30T19:11:00Z,fat burn,1
2024-10-30T19:12:00Z,fat burn,1
2024-10-30T19:13:00Z,fat burn,1
2024-10-30T19:14:00Z,fat burn,1
2024-10-30T19:15:00Z,fat burn,1
2024-10-30T19:16:00Z,fat burn,1
2024-10-30T19:17:00Z,fat burn,1
