exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
138072509924106832,2024-10-30 18:33:42+0000,2024-10-30 18:49:03+0000,+00:00,2024-11-03 23:37:57+0000,2024-11-03 23:37:57+0000,Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
801934298518110448,2024-10-30 16:08:31+0000,2024-10-30 16:26:46+0000,+00:00,2024-11-03 23:37:49+0000,2024-11-03 23:37:49+0000,Walk,TRACKER,0,UNSPECIFIED,,METRIC,129.0,1270.0,824203.0,0.0,129.0,165.0,0.0,96256.0,677.0,0.0,0.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
2110154461197096232,2024-10-30 19:37:57+0000,2024-10-30 21:47:31+0000,+00:00,2024-11-03 23:37:49+0000,2024-11-03 23:37:49+0000,Walk,TRACKER,0,UNSPECIFIED,,METRIC,789.0,3058.0,1772618.0,0.0,136.0,170.0,0.0,29184.0,1541.0,0.0,0.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
7426011445395607176,2024-10-30 14:56:15+0000,2024-10-30 15:21:44+0000,+00:00,2024-11-03 23:37:49+0000,2024-11-03 23:37:49+0000,Walk,TRACKER,0,UNSPECIFIED,,METRIC,152.0,1109.0,747383.0,0.0,126.0,160.0,0.0,62464.0,1262.0,0.0,0.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
8709437454908193896,2024-10-30 16:27:50+0000,2024-10-30 18:31:30+0000,+00:00,2024-11-03 23:37:49+0000,2024-11-03 23:37:49+0000,Sport,TRACKER,0,UNSPECIFIED,,METRIC,1228.0,9688.0,7716243.0,0.0,167.0,209.0,0.0,132992.0,2477.0,1061.0,687.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
