timestamp,heart rate zone,total minutes
2024-11-13T14:54:00Z,fat burn,1
2024-11-13T15:00:00Z,fat burn,1
2024-11-13T15:01:00Z,fat burn,1
2024-11-13T15:02:00Z,fat burn,1
2024-11-13T15:03:00Z,fat burn,1
2024-11-13T15:04:00Z,fat burn,1
2024-11-13T15:05:00Z,fat burn,1
2024-11-13T15:06:00Z,fat burn,1
2024-11-13T15:07:00Z,fat burn,1
2024-11-13T15:08:00Z,fat burn,1
2024-11-13T15:09:00Z,fat burn,1
2024-11-13T15:12:00Z,fat burn,1
2024-11-13T15:13:00Z,fat burn,1
2024-11-13T15:58:00Z,fat burn,1
2024-11-13T16:22:00Z,fat burn,1
2024-11-13T16:24:00Z,fat burn,1
2024-11-13T16:33:00Z,fat burn,1
2024-11-13T16:34:00Z,cardio,2
2024-11-13T16:35:00Z,cardio,2
2024-11-13T16:36:00Z,cardio,2
2024-11-13T16:37:00Z,fat burn,1
2024-11-13T16:38:00Z,fat burn,1
2024-11-13T16:39:00Z,fat burn,1
2024-11-13T16:40:00Z,fat burn,1
2024-11-13T16:41:00Z,fat burn,1
2024-11-13T16:42:00Z,fat burn,1
2024-11-13T16:43:00Z,fat burn,1
2024-11-13T16:44:00Z,fat burn,1
2024-11-13T16:45:00Z,cardio,2
2024-11-13T16:46:00Z,fat burn,1
2024-11-13T16:47:00Z,fat burn,1
2024-11-13T16:48:00Z,fat burn,1
2024-11-13T16:49:00Z,cardio,2
2024-11-13T16:50:00Z,cardio,2
2024-11-13T16:51:00Z,cardio,2
2024-11-13T16:52:00Z,cardio,2
2024-11-13T16:53:00Z,cardio,2
2024-11-13T16:54:00Z,cardio,2
2024-11-13T16:55:00Z,cardio,2
2024-11-13T16:56:00Z,cardio,2
2024-11-13T16:57:00Z,cardio,2
2024-11-13T16:58:00Z,cardio,2
2024-11-13T16:59:00Z,cardio,2
2024-11-13T17:00:00Z,fat burn,1
2024-11-13T17:01:00Z,fat burn,1
2024-11-13T17:02:00Z,fat burn,1
2024-11-13T17:03:00Z,cardio,2
2024-11-13T17:04:00Z,cardio,2
2024-11-13T17:05:00Z,cardio,2
2024-11-13T17:06:00Z,cardio,2
2024-11-13T17:07:00Z,cardio,2
2024-11-13T17:08:00Z,cardio,2
2024-11-13T17:09:00Z,cardio,2
2024-11-13T17:10:00Z,cardio,2
2024-11-13T17:11:00Z,peak,2
2024-11-13T17:12:00Z,peak,2
2024-11-13T17:13:00Z,cardio,2
2024-11-13T17:14:00Z,cardio,2
2024-11-13T17:15:00Z,peak,2
2024-11-13T17:16:00Z,peak,2
2024-11-13T17:17:00Z,peak,2
2024-11-13T17:18:00Z,peak,2
2024-11-13T17:19:00Z,cardio,2
2024-11-13T17:20:00Z,cardio,2
2024-11-13T17:21:00Z,cardio,2
2024-11-13T17:22:00Z,peak,2
2024-11-13T17:23:00Z,peak,2
2024-11-13T17:24:00Z,peak,2
2024-11-13T17:25:00Z,peak,2
2024-11-13T17:26:00Z,peak,2
2024-11-13T17:27:00Z,peak,2
2024-11-13T17:28:00Z,peak,2
2024-11-13T17:29:00Z,peak,2
2024-11-13T17:30:00Z,peak,2
2024-11-13T17:31:00Z,peak,2
2024-11-13T17:32:00Z,peak,2
2024-11-13T17:33:00Z,cardio,2
2024-11-13T17:34:00Z,peak,2
2024-11-13T17:35:00Z,peak,2
2024-11-13T17:36:00Z,cardio,2
2024-11-13T17:37:00Z,cardio,2
2024-11-13T17:38:00Z,cardio,2
2024-11-13T17:39:00Z,cardio,2
2024-11-13T17:40:00Z,fat burn,1
2024-11-13T17:41:00Z,fat burn,1
2024-11-13T17:42:00Z,fat burn,1
2024-11-13T17:43:00Z,fat burn,1
2024-11-13T17:44:00Z,fat burn,1
2024-11-13T17:45:00Z,cardio,2
2024-11-13T17:46:00Z,peak,2
2024-11-13T17:47:00Z,peak,2
2024-11-13T17:48:00Z,cardio,2
2024-11-13T17:49:00Z,peak,2
2024-11-13T17:50:00Z,peak,2
2024-11-13T17:51:00Z,peak,2
2024-11-13T17:52:00Z,cardio,2
2024-11-13T17:53:00Z,cardio,2
2024-11-13T17:54:00Z,cardio,2
2024-11-13T17:55:00Z,cardio,2
2024-11-13T17:56:00Z,peak,2
2024-11-13T17:57:00Z,peak,2
2024-11-13T17:58:00Z,peak,2
2024-11-13T17:59:00Z,peak,2
2024-11-13T18:00:00Z,cardio,2
2024-11-13T18:01:00Z,cardio,2
2024-11-13T18:02:00Z,cardio,2
2024-11-13T18:03:00Z,peak,2
2024-11-13T18:04:00Z,peak,2
2024-11-13T18:05:00Z,peak,2
2024-11-13T18:06:00Z,cardio,2
2024-11-13T18:07:00Z,peak,2
2024-11-13T18:08:00Z,cardio,2
2024-11-13T18:09:00Z,peak,2
2024-11-13T18:10:00Z,peak,2
2024-11-13T18:11:00Z,peak,2
2024-11-13T18:12:00Z,peak,2
2024-11-13T18:13:00Z,cardio,2
2024-11-13T18:14:00Z,cardio,2
2024-11-13T18:15:00Z,cardio,2
2024-11-13T18:16:00Z,cardio,2
2024-11-13T18:17:00Z,peak,2
2024-11-13T18:18:00Z,peak,2
2024-11-13T18:19:00Z,cardio,2
2024-11-13T18:20:00Z,peak,2
2024-11-13T18:21:00Z,cardio,2
2024-11-13T18:22:00Z,fat burn,1
2024-11-13T18:23:00Z,fat burn,1
2024-11-13T18:24:00Z,fat burn,1
2024-11-13T18:25:00Z,fat burn,1
2024-11-13T18:26:00Z,fat burn,1
2024-11-13T18:27:00Z,fat burn,1
2024-11-13T18:28:00Z,fat burn,1
