timestamp,beats per minute
2024-10-30T11:14:32Z,91.0
2024-10-30T11:14:34Z,88.0
2024-10-30T11:14:36Z,87.0
2024-10-30T11:14:38Z,88.0
2024-10-30T11:14:40Z,90.0
2024-10-30T11:14:41Z,93.0
2024-10-30T11:14:43Z,94.0
2024-10-30T11:14:45Z,98.0
2024-10-30T11:14:47Z,95.0
2024-10-30T11:14:49Z,90.0
2024-10-30T11:14:51Z,98.0
2024-10-30T11:14:53Z,102.0
2024-10-30T11:14:55Z,103.0
2024-10-30T11:14:57Z,100.0
2024-10-30T11:14:59Z,95.0
2024-10-30T11:15:01Z,93.0
2024-10-30T11:15:03Z,91.0
2024-10-30T11:15:06Z,92.0
2024-10-30T11:15:08Z,94.0
2024-10-30T11:15:10Z,96.0
2024-10-30T11:15:12Z,98.0
2024-10-30T11:15:14Z,101.0
2024-10-30T11:15:16Z,103.0
2024-10-30T11:15:18Z,105.0
2024-10-30T11:15:20Z,104.0
2024-10-30T11:15:22Z,100.0
2024-10-30T11:15:24Z,98.0
2024-10-30T11:15:26Z,99.0
2024-10-30T11:15:29Z,99.0
2024-10-30T11:15:32Z,99.0
2024-10-30T11:15:33Z,100.0
2024-10-30T11:15:36Z,100.0
2024-10-30T11:15:37Z,101.0
2024-10-30T11:15:40Z,101.0
2024-10-30T11:15:41Z,100.0
2024-10-30T11:15:43Z,101.0
2024-10-30T11:15:45Z,100.0
2024-10-30T11:15:47Z,101.0
2024-10-30T11:15:49Z,102.0
2024-10-30T11:15:52Z,102.0
2024-10-30T11:15:53Z,104.0
2024-10-30T11:15:56Z,100.0
2024-10-30T11:15:58Z,95.0
2024-10-30T11:16:00Z,93.0
2024-10-30T11:16:03Z,93.0
2024-10-30T11:16:04Z,95.0
2024-10-30T11:16:07Z,95.0
2024-10-30T11:16:08Z,95.0
2024-10-30T11:16:10Z,99.0
2024-10-30T11:16:12Z,97.0
2024-10-30T11:16:14Z,98.0
2024-10-30T11:16:16Z,97.0
2024-10-30T11:16:18Z,95.0
2024-10-30T11:16:20Z,96.0
2024-10-30T11:16:22Z,95.0
2024-10-30T11:16:23Z,89.0
2024-10-30T11:16:26Z,89.0
2024-10-30T11:16:27Z,93.0
2024-10-30T11:16:29Z,92.0
2024-10-30T11:16:31Z,94.0
2024-10-30T11:16:33Z,99.0
2024-10-30T11:16:35Z,101.0
2024-10-30T11:16:37Z,100.0
2024-10-30T11:16:39Z,99.0
2024-10-30T11:16:41Z,95.0
2024-10-30T11:16:44Z,95.0
2024-10-30T11:16:45Z,98.0
2024-10-30T11:16:46Z,100.0
2024-10-30T11:16:48Z,98.0
2024-10-30T11:16:50Z,97.0
2024-10-30T11:16:52Z,96.0
2024-10-30T11:16:54Z,97.0
2024-10-30T11:16:56Z,99.0
2024-10-30T11:16:58Z,100.0
2024-10-30T11:17:00Z,99.0
2024-10-30T11:17:03Z,99.0
2024-10-30T11:17:06Z,98.0
2024-10-30T11:17:08Z,99.0
2024-10-30T11:17:10Z,100.0
2024-10-30T11:17:13Z,99.0
2024-10-30T11:17:15Z,98.0
2024-10-30T11:17:18Z,98.0
2024-10-30T11:17:21Z,98.0
2024-10-30T11:17:23Z,99.0
2024-10-30T11:17:25Z,101.0
2024-10-30T11:17:28Z,101.0
2024-10-30T11:17:29Z,102.0
2024-10-30T11:17:31Z,103.0
2024-10-30T11:17:34Z,102.0
2024-10-30T11:17:37Z,102.0
2024-10-30T11:17:38Z,101.0
2024-10-30T11:17:41Z,101.0
2024-10-30T11:17:42Z,99.0
2024-10-30T11:17:45Z,99.0
2024-10-30T11:17:46Z,100.0
2024-10-30T11:17:48Z,99.0
2024-10-30T11:17:51Z,99.0
2024-10-30T11:17:52Z,101.0
2024-10-30T11:17:54Z,102.0
2024-10-30T11:17:57Z,102.0
2024-10-30T11:17:58Z,103.0
2024-10-30T11:17:59Z,100.0
2024-10-30T11:18:01Z,98.0
2024-10-30T11:18:04Z,98.0
2024-10-30T11:18:05Z,97.0
2024-10-30T11:18:07Z,95.0
2024-10-30T11:18:10Z,95.0
2024-10-30T11:18:13Z,96.0
2024-10-30T11:18:15Z,95.0
2024-10-30T11:18:17Z,94.0
2024-10-30T11:18:20Z,94.0
2024-10-30T11:18:21Z,92.0
2024-10-30T11:18:22Z,94.0
2024-10-30T11:18:24Z,97.0
2024-10-30T11:18:26Z,96.0
2024-10-30T11:18:29Z,96.0
2024-10-30T11:18:32Z,96.0
2024-10-30T11:18:34Z,98.0
2024-10-30T11:18:36Z,101.0
2024-10-30T11:18:39Z,101.0
2024-10-30T11:18:40Z,100.0
2024-10-30T11:18:42Z,99.0
2024-10-30T11:18:44Z,98.0
2024-10-30T11:18:46Z,97.0
2024-10-30T11:18:47Z,94.0
2024-10-30T11:18:50Z,94.0
2024-10-30T11:18:51Z,93.0
2024-10-30T11:18:53Z,94.0
2024-10-30T11:18:55Z,94.0
2024-10-30T11:18:57Z,95.0
2024-10-30T11:18:59Z,94.0
2024-10-30T11:19:02Z,94.0
2024-10-30T11:19:05Z,94.0
2024-10-30T11:19:07Z,95.0
2024-10-30T11:19:09Z,96.0
2024-10-30T11:19:12Z,97.0
2024-10-30T11:19:14Z,99.0
2024-10-30T11:19:16Z,103.0
2024-10-30T11:19:18Z,105.0
2024-10-30T11:19:21Z,105.0
2024-10-30T11:19:24Z,104.0
2024-10-30T11:19:26Z,99.0
2024-10-30T11:19:28Z,98.0
2024-10-30T11:19:30Z,99.0
2024-10-30T11:19:32Z,101.0
2024-10-30T11:19:34Z,102.0
2024-10-30T11:19:35Z,101.0
2024-10-30T11:19:37Z,100.0
2024-10-30T11:19:39Z,99.0
2024-10-30T11:19:41Z,100.0
2024-10-30T11:19:43Z,104.0
2024-10-30T11:19:45Z,107.0
2024-10-30T11:19:48Z,107.0
2024-10-30T11:19:49Z,105.0
2024-10-30T11:19:51Z,103.0
2024-10-30T11:19:53Z,105.0
2024-10-30T11:19:55Z,103.0
2024-10-30T11:19:57Z,102.0
2024-10-30T11:19:58Z,98.0
2024-10-30T11:20:00Z,95.0
2024-10-30T11:20:02Z,94.0
2024-10-30T11:20:04Z,95.0
2024-10-30T11:20:06Z,93.0
2024-10-30T11:20:08Z,92.0
2024-10-30T11:20:11Z,92.0
2024-10-30T11:20:14Z,92.0
2024-10-30T11:20:16Z,90.0
2024-10-30T11:20:19Z,90.0
2024-10-30T11:20:22Z,90.0
2024-10-30T11:20:25Z,90.0
2024-10-30T11:20:28Z,90.0
2024-10-30T11:20:31Z,91.0
2024-10-30T11:20:34Z,91.0
2024-10-30T11:20:37Z,92.0
2024-10-30T11:20:40Z,92.0
2024-10-30T11:20:41Z,90.0
2024-10-30T11:20:43Z,91.0
2024-10-30T11:20:45Z,92.0
2024-10-30T11:20:48Z,92.0
2024-10-30T11:20:50Z,90.0
2024-10-30T11:20:53Z,90.0
2024-10-30T11:20:54Z,93.0
2024-10-30T11:20:56Z,90.0
2024-10-30T11:20:58Z,86.0
2024-10-30T11:21:01Z,86.0
2024-10-30T11:21:02Z,88.0
2024-10-30T11:21:04Z,90.0
2024-10-30T11:21:06Z,92.0
2024-10-30T11:21:08Z,91.0
2024-10-30T11:21:10Z,90.0
2024-10-30T11:21:11Z,88.0
2024-10-30T11:21:14Z,88.0
2024-10-30T11:21:15Z,90.0
2024-10-30T11:21:17Z,91.0
2024-10-30T11:21:19Z,92.0
2024-10-30T11:21:22Z,92.0
2024-10-30T11:21:23Z,94.0
2024-10-30T11:21:26Z,94.0
2024-10-30T11:21:27Z,92.0
2024-10-30T11:21:29Z,90.0
2024-10-30T11:21:31Z,89.0
2024-10-30T11:21:33Z,88.0
2024-10-30T11:21:35Z,88.0
2024-10-30T11:21:37Z,87.0
2024-10-30T11:21:39Z,86.0
2024-10-30T11:21:41Z,87.0
2024-10-30T11:21:42Z,88.0
2024-10-30T11:21:45Z,88.0
2024-10-30T11:21:46Z,90.0
2024-10-30T11:21:48Z,93.0
2024-10-30T11:21:50Z,95.0
2024-10-30T11:21:52Z,96.0
2024-10-30T11:21:54Z,95.0
2024-10-30T11:21:57Z,95.0
2024-10-30T11:21:58Z,96.0
2024-10-30T11:22:00Z,97.0
2024-10-30T11:22:02Z,96.0
2024-10-30T11:22:04Z,95.0
2024-10-30T11:22:07Z,96.0
2024-10-30T11:22:09Z,98.0
2024-10-30T11:22:11Z,100.0
2024-10-30T11:22:13Z,104.0
2024-10-30T11:22:15Z,106.0
2024-10-30T11:22:17Z,104.0
2024-10-30T11:22:19Z,101.0
2024-10-30T11:22:21Z,100.0
2024-10-30T11:22:23Z,102.0
2024-10-30T11:22:26Z,102.0
2024-10-30T11:22:29Z,104.0
2024-10-30T11:22:30Z,105.0
2024-10-30T11:22:32Z,108.0
2024-10-30T11:22:35Z,109.0
2024-10-30T11:22:37Z,108.0
2024-10-30T11:22:40Z,108.0
2024-10-30T11:22:41Z,107.0
2024-10-30T11:22:43Z,108.0
2024-10-30T11:22:45Z,109.0
2024-10-30T11:22:47Z,106.0
2024-10-30T11:22:48Z,105.0
2024-10-30T11:22:50Z,103.0
2024-10-30T11:22:52Z,102.0
2024-10-30T11:22:54Z,104.0
2024-10-30T11:22:56Z,101.0
2024-10-30T11:22:58Z,100.0
2024-10-30T11:23:00Z,102.0
2024-10-30T11:23:02Z,103.0
2024-10-30T11:23:04Z,104.0
2024-10-30T11:23:06Z,103.0
2024-10-30T11:23:08Z,105.0
2024-10-30T11:23:10Z,103.0
2024-10-30T11:23:11Z,100.0
2024-10-30T11:23:14Z,100.0
2024-10-30T11:23:15Z,99.0
2024-10-30T11:23:17Z,98.0
2024-10-30T11:23:19Z,97.0
2024-10-30T11:23:21Z,94.0
2024-10-30T11:23:23Z,92.0
2024-10-30T11:23:25Z,91.0
2024-10-30T11:23:28Z,91.0
2024-10-30T11:23:29Z,93.0
2024-10-30T11:23:31Z,95.0
2024-10-30T11:23:33Z,96.0
2024-10-30T11:23:35Z,99.0
2024-10-30T11:23:36Z,98.0
2024-10-30T11:23:38Z,103.0
2024-10-30T11:23:41Z,103.0
2024-10-30T11:23:42Z,104.0
2024-10-30T11:23:44Z,102.0
2024-10-30T11:23:46Z,97.0
2024-10-30T11:23:48Z,91.0
2024-10-30T11:23:50Z,88.0
2024-10-30T11:23:52Z,87.0
2024-10-30T11:23:54Z,85.0
2024-10-30T11:23:56Z,84.0
2024-10-30T11:23:58Z,83.0
2024-10-30T11:23:59Z,82.0
2024-10-30T11:24:02Z,82.0
2024-10-30T11:24:05Z,82.0
2024-10-30T11:24:07Z,85.0
2024-10-30T11:24:09Z,87.0
2024-10-30T11:24:11Z,90.0
2024-10-30T11:24:13Z,91.0
2024-10-30T11:24:15Z,90.0
2024-10-30T11:24:18Z,90.0
2024-10-30T11:24:21Z,88.0
2024-10-30T11:24:23Z,86.0
2024-10-30T11:24:26Z,86.0
2024-10-30T11:24:29Z,86.0
2024-10-30T11:24:30Z,85.0
2024-10-30T11:24:32Z,84.0
2024-10-30T11:24:34Z,84.0
2024-10-30T11:24:36Z,82.0
2024-10-30T11:24:39Z,82.0
2024-10-30T11:24:40Z,84.0
2024-10-30T11:24:43Z,84.0
2024-10-30T11:24:46Z,82.0
2024-10-30T11:24:47Z,83.0
2024-10-30T11:24:50Z,83.0
