timestamp,heart rate zone,total minutes
2024-11-27T17:44:00Z,fat burn,1
2024-11-27T17:45:00Z,fat burn,1
2024-11-27T17:46:00Z,fat burn,1
2024-11-27T17:47:00Z,fat burn,1
2024-11-27T17:48:00Z,fat burn,1
2024-11-27T17:49:00Z,fat burn,1
2024-11-27T17:50:00Z,cardio,2
2024-11-27T17:51:00Z,fat burn,1
2024-11-27T17:52:00Z,fat burn,1
2024-11-27T17:53:00Z,fat burn,1
2024-11-27T17:54:00Z,fat burn,1
2024-11-27T17:55:00Z,fat burn,1
2024-11-27T17:56:00Z,fat burn,1
2024-11-27T17:57:00Z,fat burn,1
2024-11-27T17:58:00Z,fat burn,1
2024-11-27T17:59:00Z,fat burn,1
2024-11-27T18:00:00Z,fat burn,1
2024-11-27T18:01:00Z,fat burn,1
2024-11-27T18:08:00Z,fat burn,1
2024-11-27T18:09:00Z,fat burn,1
2024-11-27T18:10:00Z,fat burn,1
2024-11-27T18:11:00Z,fat burn,1
2024-11-27T18:12:00Z,fat burn,1
2024-11-27T18:13:00Z,fat burn,1
2024-11-27T18:14:00Z,fat burn,1
2024-11-27T18:16:00Z,fat burn,1
2024-11-27T18:17:00Z,fat burn,1
2024-11-27T18:18:00Z,fat burn,1
2024-11-27T18:27:00Z,fat burn,1
2024-11-27T18:28:00Z,fat burn,1
2024-11-27T18:29:00Z,fat burn,1
2024-11-27T18:30:00Z,fat burn,1
2024-11-27T18:31:00Z,fat burn,1
2024-11-27T18:32:00Z,fat burn,1
2024-11-27T18:33:00Z,fat burn,1
2024-11-27T18:34:00Z,fat burn,1
2024-11-27T18:35:00Z,fat burn,1
2024-11-27T18:36:00Z,fat burn,1
2024-11-27T18:37:00Z,fat burn,1
2024-11-27T18:38:00Z,fat burn,1
2024-11-27T18:39:00Z,fat burn,1
2024-11-27T18:40:00Z,fat burn,1
2024-11-27T18:41:00Z,fat burn,1
2024-11-27T19:37:00Z,fat burn,1
2024-11-27T19:38:00Z,fat burn,1
2024-11-27T19:41:00Z,fat burn,1
2024-11-27T19:42:00Z,fat burn,1
2024-11-27T19:43:00Z,fat burn,1
2024-11-27T19:44:00Z,fat burn,1
2024-11-27T19:45:00Z,fat burn,1
2024-11-27T19:46:00Z,fat burn,1
2024-11-27T19:47:00Z,fat burn,1
2024-11-27T19:48:00Z,fat burn,1
2024-11-27T19:49:00Z,fat burn,1
2024-11-27T19:50:00Z,fat burn,1
2024-11-27T19:53:00Z,fat burn,1
2024-11-27T19:54:00Z,fat burn,1
2024-11-27T19:55:00Z,fat burn,1
2024-11-27T19:56:00Z,fat burn,1
2024-11-27T19:57:00Z,fat burn,1
2024-11-27T19:58:00Z,fat burn,1
2024-11-27T19:59:00Z,fat burn,1
2024-11-27T20:00:00Z,fat burn,1
2024-11-27T20:01:00Z,fat burn,1
2024-11-27T20:02:00Z,fat burn,1
2024-11-27T20:03:00Z,fat burn,1
2024-11-27T20:04:00Z,fat burn,1
2024-11-27T20:05:00Z,fat burn,1
2024-11-27T20:09:00Z,fat burn,1
2024-11-27T20:18:00Z,fat burn,1
2024-11-27T22:13:00Z,fat burn,1
2024-11-27T22:14:00Z,fat burn,1
2024-11-27T22:15:00Z,fat burn,1
2024-11-27T22:16:00Z,fat burn,1
2024-11-27T22:20:00Z,cardio,2
2024-11-27T22:21:00Z,cardio,2
2024-11-27T22:22:00Z,fat burn,1
2024-11-27T22:24:00Z,fat burn,1
2024-11-27T22:25:00Z,fat burn,1
2024-11-27T22:26:00Z,fat burn,1
2024-11-27T22:27:00Z,fat burn,1
2024-11-27T22:28:00Z,fat burn,1
2024-11-27T22:29:00Z,fat burn,1
2024-11-27T22:30:00Z,fat burn,1
2024-11-27T22:31:00Z,fat burn,1
2024-11-27T22:32:00Z,fat burn,1
2024-11-27T22:33:00Z,fat burn,1
2024-11-27T22:39:00Z,fat burn,1
2024-11-27T22:40:00Z,fat burn,1
2024-11-27T22:55:00Z,fat burn,1
