timestamp,heart rate zone,total minutes
2024-10-16T13:42:00Z,cardio,2
2024-10-16T13:43:00Z,cardio,2
2024-10-16T13:44:00Z,cardio,2
2024-10-16T13:45:00Z,fat burn,1
2024-10-16T13:46:00Z,fat burn,1
2024-10-16T13:47:00Z,cardio,2
2024-10-16T13:48:00Z,cardio,2
2024-10-16T13:49:00Z,cardio,2
2024-10-16T13:50:00Z,cardio,2
2024-10-16T13:51:00Z,cardio,2
2024-10-16T13:52:00Z,fat burn,1
2024-10-16T13:53:00Z,fat burn,1
2024-10-16T13:54:00Z,fat burn,1
2024-10-16T13:57:00Z,cardio,2
2024-10-16T13:58:00Z,cardio,2
2024-10-16T13:59:00Z,cardio,2
2024-10-16T14:00:00Z,fat burn,1
2024-10-16T14:01:00Z,cardio,2
2024-10-16T14:02:00Z,peak,2
2024-10-16T14:03:00Z,peak,2
2024-10-16T14:04:00Z,peak,2
2024-10-16T14:05:00Z,peak,2
2024-10-16T14:06:00Z,cardio,2
2024-10-16T14:07:00Z,cardio,2
2024-10-16T14:08:00Z,cardio,2
2024-10-16T14:09:00Z,cardio,2
2024-10-16T14:10:00Z,peak,2
2024-10-16T14:11:00Z,peak,2
2024-10-16T14:12:00Z,peak,2
2024-10-16T14:13:00Z,peak,2
2024-10-16T14:14:00Z,peak,2
2024-10-16T14:15:00Z,peak,2
2024-10-16T14:16:00Z,peak,2
2024-10-16T14:17:00Z,cardio,2
2024-10-16T14:18:00Z,cardio,2
2024-10-16T14:19:00Z,peak,2
2024-10-16T14:20:00Z,peak,2
2024-10-16T14:21:00Z,cardio,2
2024-10-16T14:22:00Z,cardio,2
2024-10-16T14:23:00Z,cardio,2
2024-10-16T14:24:00Z,cardio,2
2024-10-16T14:25:00Z,peak,2
2024-10-16T14:26:00Z,peak,2
2024-10-16T14:27:00Z,peak,2
2024-10-16T14:28:00Z,cardio,2
2024-10-16T14:29:00Z,cardio,2
2024-10-16T14:30:00Z,cardio,2
2024-10-16T14:31:00Z,peak,2
2024-10-16T14:32:00Z,peak,2
2024-10-16T14:33:00Z,peak,2
2024-10-16T14:34:00Z,peak,2
2024-10-16T14:35:00Z,peak,2
2024-10-16T14:36:00Z,peak,2
2024-10-16T14:37:00Z,cardio,2
2024-10-16T14:38:00Z,cardio,2
2024-10-16T14:39:00Z,cardio,2
2024-10-16T14:40:00Z,cardio,2
2024-10-16T14:41:00Z,cardio,2
2024-10-16T14:42:00Z,cardio,2
2024-10-16T14:43:00Z,cardio,2
2024-10-16T14:44:00Z,cardio,2
2024-10-16T14:45:00Z,cardio,2
2024-10-16T14:46:00Z,peak,2
2024-10-16T14:47:00Z,peak,2
2024-10-16T14:48:00Z,cardio,2
2024-10-16T14:49:00Z,peak,2
2024-10-16T14:50:00Z,peak,2
2024-10-16T14:51:00Z,cardio,2
2024-10-16T14:52:00Z,peak,2
2024-10-16T14:53:00Z,peak,2
2024-10-16T14:54:00Z,peak,2
2024-10-16T14:55:00Z,peak,2
2024-10-16T14:56:00Z,peak,2
2024-10-16T14:57:00Z,peak,2
2024-10-16T14:58:00Z,peak,2
2024-10-16T14:59:00Z,peak,2
2024-10-16T15:00:00Z,cardio,2
2024-10-16T15:01:00Z,cardio,2
2024-10-16T15:02:00Z,cardio,2
2024-10-16T15:03:00Z,peak,2
2024-10-16T15:04:00Z,peak,2
2024-10-16T15:05:00Z,cardio,2
2024-10-16T15:06:00Z,peak,2
2024-10-16T15:07:00Z,cardio,2
