timestamp,heart rate zone,total minutes
2024-11-06T12:50:00Z,fat burn,1
2024-11-06T12:51:00Z,fat burn,1
2024-11-06T12:52:00Z,fat burn,1
2024-11-06T12:54:00Z,fat burn,1
2024-11-06T12:55:00Z,fat burn,1
2024-11-06T14:52:00Z,fat burn,1
2024-11-06T14:53:00Z,fat burn,1
2024-11-06T14:54:00Z,fat burn,1
2024-11-06T14:55:00Z,fat burn,1
2024-11-06T14:56:00Z,cardio,2
2024-11-06T14:57:00Z,cardio,2
2024-11-06T14:58:00Z,cardio,2
2024-11-06T14:59:00Z,cardio,2
2024-11-06T15:00:00Z,fat burn,1
2024-11-06T15:01:00Z,fat burn,1
2024-11-06T15:02:00Z,fat burn,1
2024-11-06T15:03:00Z,fat burn,1
2024-11-06T15:04:00Z,cardio,2
2024-11-06T15:05:00Z,cardio,2
2024-11-06T15:06:00Z,peak,2
2024-11-06T15:07:00Z,peak,2
2024-11-06T15:08:00Z,peak,2
2024-11-06T15:09:00Z,cardio,2
2024-11-06T15:10:00Z,cardio,2
2024-11-06T15:11:00Z,peak,2
2024-11-06T15:12:00Z,cardio,2
2024-11-06T15:13:00Z,peak,2
2024-11-06T15:14:00Z,peak,2
2024-11-06T15:15:00Z,cardio,2
2024-11-06T15:16:00Z,peak,2
2024-11-06T15:17:00Z,peak,2
2024-11-06T15:18:00Z,cardio,2
2024-11-06T15:19:00Z,peak,2
2024-11-06T15:20:00Z,cardio,2
2024-11-06T15:21:00Z,cardio,2
2024-11-06T15:22:00Z,cardio,2
2024-11-06T15:23:00Z,cardio,2
2024-11-06T15:24:00Z,cardio,2
2024-11-06T15:25:00Z,peak,2
2024-11-06T15:26:00Z,cardio,2
2024-11-06T15:27:00Z,cardio,2
2024-11-06T15:28:00Z,fat burn,1
2024-11-06T15:29:00Z,fat burn,1
2024-11-06T15:30:00Z,cardio,2
2024-11-06T15:31:00Z,cardio,2
2024-11-06T15:32:00Z,peak,2
2024-11-06T15:33:00Z,peak,2
2024-11-06T15:34:00Z,peak,2
2024-11-06T15:35:00Z,cardio,2
2024-11-06T15:36:00Z,peak,2
2024-11-06T15:37:00Z,peak,2
2024-11-06T15:38:00Z,cardio,2
2024-11-06T15:39:00Z,cardio,2
2024-11-06T15:40:00Z,fat burn,1
2024-11-06T15:41:00Z,fat burn,1
2024-11-06T15:42:00Z,fat burn,1
2024-11-06T15:43:00Z,cardio,2
2024-11-06T15:44:00Z,cardio,2
2024-11-06T15:45:00Z,cardio,2
2024-11-06T15:46:00Z,cardio,2
2024-11-06T15:47:00Z,cardio,2
2024-11-06T15:48:00Z,peak,2
2024-11-06T15:49:00Z,peak,2
2024-11-06T15:50:00Z,peak,2
2024-11-06T15:51:00Z,cardio,2
2024-11-06T15:52:00Z,cardio,2
2024-11-06T15:53:00Z,peak,2
2024-11-06T15:54:00Z,peak,2
2024-11-06T15:55:00Z,peak,2
2024-11-06T15:56:00Z,cardio,2
2024-11-06T15:57:00Z,cardio,2
2024-11-06T15:58:00Z,cardio,2
2024-11-06T15:59:00Z,cardio,2
2024-11-06T16:00:00Z,peak,2
2024-11-06T16:01:00Z,cardio,2
2024-11-06T16:02:00Z,cardio,2
2024-11-06T16:03:00Z,cardio,2
2024-11-06T16:04:00Z,peak,2
2024-11-06T16:05:00Z,cardio,2
2024-11-06T16:06:00Z,peak,2
2024-11-06T16:07:00Z,peak,2
2024-11-06T16:08:00Z,cardio,2
2024-11-06T16:09:00Z,cardio,2
2024-11-06T16:10:00Z,cardio,2
2024-11-06T16:11:00Z,cardio,2
2024-11-06T16:12:00Z,cardio,2
2024-11-06T16:13:00Z,cardio,2
2024-11-06T16:14:00Z,cardio,2
2024-11-06T16:15:00Z,cardio,2
2024-11-06T16:16:00Z,cardio,2
2024-11-06T16:17:00Z,cardio,2
2024-11-06T16:18:00Z,cardio,2
2024-11-06T16:19:00Z,cardio,2
2024-11-06T16:20:00Z,cardio,2
2024-11-06T16:21:00Z,fat burn,1
2024-11-06T16:22:00Z,fat burn,1
2024-11-06T16:23:00Z,fat burn,1
2024-11-06T16:24:00Z,fat burn,1
2024-11-06T16:25:00Z,fat burn,1
2024-11-06T16:26:00Z,fat burn,1
2024-11-06T16:27:00Z,fat burn,1
2024-11-06T16:28:00Z,fat burn,1
2024-11-06T16:29:00Z,fat burn,1
2024-11-06T16:30:00Z,fat burn,1
2024-11-06T16:33:00Z,fat burn,1
2024-11-06T16:34:00Z,fat burn,1
2024-11-06T16:37:00Z,fat burn,1
2024-11-06T16:38:00Z,fat burn,1
2024-11-06T16:39:00Z,fat burn,1
2024-11-06T16:40:00Z,fat burn,1
2024-11-06T16:41:00Z,fat burn,1
2024-11-06T16:43:00Z,fat burn,1
2024-11-06T16:45:00Z,fat burn,1
2024-11-06T17:24:00Z,fat burn,1
2024-11-06T17:31:00Z,fat burn,1
2024-11-06T17:32:00Z,fat burn,1
2024-11-06T19:26:00Z,fat burn,1
2024-11-06T19:27:00Z,fat burn,1
2024-11-06T19:31:00Z,fat burn,1
2024-11-06T19:32:00Z,fat burn,1
2024-11-06T19:34:00Z,fat burn,1
2024-11-06T19:35:00Z,fat burn,1
2024-11-06T19:36:00Z,fat burn,1
2024-11-06T19:37:00Z,fat burn,1
2024-11-06T19:38:00Z,fat burn,1
2024-11-06T19:39:00Z,fat burn,1
2024-11-06T19:40:00Z,fat burn,1
2024-11-06T19:41:00Z,fat burn,1
2024-11-06T19:42:00Z,cardio,2
2024-11-06T19:43:00Z,fat burn,1
2024-11-06T19:44:00Z,fat burn,1
2024-11-06T19:45:00Z,fat burn,1
2024-11-06T19:46:00Z,fat burn,1
2024-11-06T19:47:00Z,fat burn,1
2024-11-06T19:48:00Z,fat burn,1
2024-11-06T19:49:00Z,fat burn,1
2024-11-06T19:50:00Z,fat burn,1
2024-11-06T19:51:00Z,fat burn,1
2024-11-06T19:52:00Z,fat burn,1
2024-11-06T19:54:00Z,fat burn,1
2024-11-06T19:55:00Z,cardio,2
2024-11-06T19:56:00Z,cardio,2
2024-11-06T19:57:00Z,fat burn,1
2024-11-06T19:58:00Z,fat burn,1
2024-11-06T19:59:00Z,fat burn,1
2024-11-06T20:00:00Z,fat burn,1
2024-11-06T20:18:00Z,fat burn,1
2024-11-06T20:30:00Z,fat burn,1
2024-11-06T20:36:00Z,fat burn,1
2024-11-06T20:38:00Z,fat burn,1
2024-11-06T20:39:00Z,fat burn,1
2024-11-06T20:42:00Z,fat burn,1
2024-11-06T20:43:00Z,fat burn,1
2024-11-06T20:45:00Z,fat burn,1
2024-11-06T20:46:00Z,fat burn,1
2024-11-06T20:47:00Z,fat burn,1
2024-11-06T20:48:00Z,fat burn,1
2024-11-06T20:49:00Z,fat burn,1
2024-11-06T20:50:00Z,fat burn,1
2024-11-06T20:51:00Z,fat burn,1
2024-11-06T20:52:00Z,fat burn,1
2024-11-06T21:13:00Z,fat burn,1
2024-11-06T21:14:00Z,fat burn,1
2024-11-06T21:16:00Z,fat burn,1
2024-11-06T21:17:00Z,fat burn,1
2024-11-06T21:18:00Z,fat burn,1
2024-11-06T21:19:00Z,cardio,2
2024-11-06T21:20:00Z,fat burn,1
2024-11-06T21:21:00Z,fat burn,1
2024-11-06T21:22:00Z,fat burn,1
2024-11-06T21:23:00Z,fat burn,1
2024-11-06T21:24:00Z,fat burn,1
2024-11-06T21:25:00Z,fat burn,1
2024-11-06T21:26:00Z,fat burn,1
2024-11-06T21:27:00Z,fat burn,1
2024-11-06T21:28:00Z,fat burn,1
2024-11-06T21:29:00Z,fat burn,1
2024-11-06T21:30:00Z,fat burn,1
2024-11-06T21:34:00Z,fat burn,1
2024-11-06T21:35:00Z,fat burn,1
2024-11-06T21:39:00Z,fat burn,1
2024-11-06T21:40:00Z,fat burn,1
2024-11-06T22:18:00Z,fat burn,1
2024-11-06T23:39:00Z,fat burn,1
2024-11-06T23:40:00Z,cardio,2
2024-11-06T23:41:00Z,cardio,2
