timestamp,distance
2024-11-06T00:02:00Z,15.43
2024-11-06T00:03:00Z,16.78
2024-11-06T00:04:00Z,12.75
2024-11-06T00:18:00Z,6.04
2024-11-06T00:46:00Z,6.04
2024-11-06T00:47:00Z,8.05
2024-11-06T00:48:00Z,5.37
2024-11-06T00:54:00Z,6.04
2024-11-06T00:56:00Z,12.08
2024-11-06T11:01:00Z,24.83
2024-11-06T11:02:00Z,31.54
2024-11-06T11:03:00Z,28.85
2024-11-06T11:04:00Z,71.13
2024-11-06T11:05:00Z,75.82
2024-11-06T11:06:00Z,73.81
2024-11-06T11:07:00Z,76.49
2024-11-06T11:08:00Z,76.49
2024-11-06T11:09:00Z,76.49
2024-11-06T11:10:00Z,75.82
2024-11-06T11:11:00Z,75.15
2024-11-06T11:12:00Z,76.49
2024-11-06T11:13:00Z,76.49
2024-11-06T11:14:00Z,76.49
2024-11-06T11:15:00Z,75.15
2024-11-06T11:16:00Z,75.15
2024-11-06T11:17:00Z,75.15
2024-11-06T11:18:00Z,49.65
2024-11-06T11:19:00Z,38.92
2024-11-06T11:20:00Z,23.49
2024-11-06T11:36:00Z,10.74
2024-11-06T11:37:00Z,21.47
2024-11-06T11:38:00Z,29.52
2024-11-06T11:39:00Z,6.71
2024-11-06T11:43:00Z,18.79
2024-11-06T11:44:00Z,36.91
2024-11-06T12:11:00Z,9.39
2024-11-06T12:17:00Z,4.03
2024-11-06T12:26:00Z,15.43
2024-11-06T12:27:00Z,16.1
2024-11-06T12:28:00Z,11.41
2024-11-06T12:30:00Z,3.36
2024-11-06T12:31:00Z,12.75
2024-11-06T12:32:00Z,21.47
2024-11-06T12:33:00Z,8.72
2024-11-06T12:35:00Z,5.37
2024-11-06T12:36:00Z,33.55
2024-11-06T12:40:00Z,20.8
2024-11-06T12:41:00Z,4.03
2024-11-06T12:42:00Z,63.07
2024-11-06T12:44:00Z,12.75
2024-11-06T12:45:00Z,18.12
2024-11-06T12:46:00Z,34.89
2024-11-06T12:48:00Z,27.51
2024-11-06T12:49:00Z,6.71
2024-11-06T12:50:00Z,6.04
2024-11-06T12:52:00Z,6.04
2024-11-06T12:53:00Z,22.14
2024-11-06T12:54:00Z,18.79
2024-11-06T12:55:00Z,16.1
2024-11-06T12:56:00Z,57.71
2024-11-06T12:57:00Z,77.84
2024-11-06T12:58:00Z,73.14
2024-11-06T12:59:00Z,12.75
2024-11-06T13:00:00Z,8.05
2024-11-06T13:02:00Z,4.03
2024-11-06T13:04:00Z,5.37
2024-11-06T13:05:00Z,16.78
2024-11-06T13:06:00Z,14.09
2024-11-06T13:07:00Z,31.54
2024-11-06T13:08:00Z,16.78
2024-11-06T13:09:00Z,32.88
2024-11-06T13:14:00Z,2.68
2024-11-06T13:16:00Z,10.07
2024-11-06T13:18:00Z,19.46
2024-11-06T13:21:00Z,8.72
2024-11-06T13:34:00Z,4.7
2024-11-06T13:40:00Z,4.03
2024-11-06T13:49:00Z,7.38
2024-11-06T13:54:00Z,6.04
2024-11-06T14:12:00Z,4.03
2024-11-06T14:15:00Z,12.08
2024-11-06T14:20:00Z,4.7
2024-11-06T14:26:00Z,3.36
2024-11-06T14:33:00Z,6.71
2024-11-06T14:34:00Z,4.03
2024-11-06T14:37:00Z,4.7
2024-11-06T14:39:00Z,9.39
2024-11-06T14:40:00Z,38.92
2024-11-06T14:41:00Z,77.84
2024-11-06T14:42:00Z,48.98
2024-11-06T14:43:00Z,4.7
2024-11-06T14:44:00Z,48.98
2024-11-06T14:45:00Z,40.26
2024-11-06T14:46:00Z,59.05
2024-11-06T14:47:00Z,54.35
2024-11-06T14:48:00Z,44.29
2024-11-06T14:49:00Z,38.25
2024-11-06T14:50:00Z,63.07
2024-11-06T14:51:00Z,67.1
2024-11-06T14:52:00Z,134.75
2024-11-06T14:53:00Z,20.0
2024-11-06T14:54:00Z,83.5
2024-11-06T14:55:00Z,117.8
2024-11-06T14:56:00Z,15.6
2024-11-06T14:57:00Z,45.4
2024-11-06T14:59:00Z,6.0
2024-11-06T15:00:00Z,45.3
2024-11-06T15:01:00Z,29.6
2024-11-06T15:02:00Z,61.6
2024-11-06T15:03:00Z,99.2
2024-11-06T15:04:00Z,75.5
2024-11-06T15:05:00Z,91.3
2024-11-06T15:06:00Z,78.2
2024-11-06T15:07:00Z,71.1
2024-11-06T15:08:00Z,53.1
2024-11-06T15:09:00Z,67.6
2024-11-06T15:10:00Z,85.9
2024-11-06T15:11:00Z,88.9
2024-11-06T15:12:00Z,107.6
2024-11-06T15:13:00Z,80.7
2024-11-06T15:14:00Z,75.5
2024-11-06T15:15:00Z,83.3
2024-11-06T15:16:00Z,81.1
2024-11-06T15:17:00Z,89.2
2024-11-06T15:18:00Z,114.4
2024-11-06T15:19:00Z,77.7
2024-11-06T15:20:00Z,96.1
2024-11-06T15:21:00Z,66.2
2024-11-06T15:22:00Z,70.0
2024-11-06T15:23:00Z,85.9
2024-11-06T15:24:00Z,107.4
2024-11-06T15:25:00Z,42.5
2024-11-06T15:26:00Z,23.7
2024-11-06T15:27:00Z,0.4
2024-11-06T15:28:00Z,28.3
2024-11-06T15:29:00Z,63.5
2024-11-06T15:30:00Z,58.9
2024-11-06T15:31:00Z,85.6
2024-11-06T15:32:00Z,68.5
2024-11-06T15:33:00Z,78.0
2024-11-06T15:34:00Z,61.1
2024-11-06T15:35:00Z,119.4
2024-11-06T15:36:00Z,77.9
2024-11-06T15:37:00Z,89.4
2024-11-06T15:38:00Z,15.6
2024-11-06T15:39:00Z,14.3
2024-11-06T15:40:00Z,0.3
2024-11-06T15:41:00Z,14.6
2024-11-06T15:42:00Z,67.8
2024-11-06T15:43:00Z,107.5
2024-11-06T15:44:00Z,92.5
2024-11-06T15:45:00Z,92.3
2024-11-06T15:46:00Z,89.0
2024-11-06T15:47:00Z,112.7
2024-11-06T15:48:00Z,88.1
2024-11-06T15:49:00Z,71.9
2024-11-06T15:50:00Z,76.6
