exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
142620292416836984,2024-11-06 19:35:10+0000,2024-11-06 19:59:01+0000,+00:00,2024-11-06 19:53:38+0000,2024-11-06 20:08:48+0000,Walk,TRACKER,0,UNSPECIFIED,,METRIC,199.0,1441.0,290336.0,0.0,139.0,176.0,0.0,25856.0,1228.0,0.0,0.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
1185368893987927544,2024-11-06 14:56:13+0000,2024-11-06 16:21:29+0000,+00:00,2024-11-06 15:25:41+0000,2024-11-06 16:51:57+0000,Sport,TRACKER,0,UNSPECIFIED,,METRIC,967.0,8540.0,6149828.0,0.0,170.0,199.0,0.0,153856.0,2518.0,1051.0,207.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
3230188974943881584,2024-11-06 11:05:43+0000,2024-11-06 11:33:39+0000,+00:00,2024-11-06 11:34:26+0000,2024-11-06 11:34:26+0000,Walk,TRACKER,0,UNSPECIFIED,,METRIC,148.0,1553.0,0.0,0.0,104.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
