exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
2603230594660091912,2024-10-09 13:08:51+0000,2024-10-09 15:52:41+0000,+01:00,2024-10-10 09:44:49+0000,2024-10-10 09:44:49+0000,Walk,TRACKER,0,UNSPECIFIED,,METRIC,555.0,3902.0,2394094.0,0.0,101.0,147.0,0.0,31104.0,1335.0,0.0,0.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
6628266751333747808,2024-10-09 21:11:28+0000,2024-10-09 21:24:42+0000,+01:00,2024-10-10 09:44:49+0000,2024-10-10 09:44:49+0000,Walk,TRACKER,0,UNSPECIFIED,,METRIC,100.0,1257.0,831844.0,0.0,128.0,165.0,0.0,134144.0,623.0,0.0,0.0,0.0,0.0,UNSPECIFIED,0.0,,,,,,
6829577883372110688,2024-10-09 19:18:08+0000,2024-10-09 19:35:12+0000,+01:00,2024-10-10 09:44:56+0000,2024-10-10 09:44:56+0000,Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
7876113329293799000,2024-10-09 16:18:03+0000,2024-10-09 18:07:17+0000,+01:00,2024-10-10 09:44:56+0000,2024-10-10 09:44:56+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
